id,surname,birthday,address,phone_number
888,Cari,01-02-1997,665 Fairview Terrace,162-558-8986
889,Karlen,03-03-1995,90085 Corry Alley,253-222-5502
890,Gilligan,28-10-1996,3674 Fair Oaks Avenue,816-297-1775
891,Henrie,09-04-1996,7427 Talmadge Terrace,720-567-3799
892,Isiahi,12-09-1997,7773 Cottonwood Drive,616-490-6310
893,Eddy,22-02-1997,60432 Declaration Pass,169-488-6071
894,Mart,11-09-1997,6570 5th Place,955-601-8546
895,Collin,04-10-1996,8 Elgar Point,727-156-9695
896,Blondell,18-08-1996,62116 Sauthoff Street,273-808-9546
897,Odessa,26-11-1995,78 Barnett Way,964-216-2257
898,Wilma,22-07-1998,5 Dwight Court,386-544-7263
899,Christabel,06-01-1997,2 Kim Pass,701-771-9403
900,Tammara,09-12-1996,999 Sachtjen Court,467-321-2486
901,Pierette,26-01-1995,51 Corscot Plaza,847-683-2366
902,Brok,28-11-1998,584 Merchant Crossing,711-910-1405
903,Valentino,16-03-1995,909 Clarendon Court,206-155-0849
904,Alvira,02-03-1995,2 Straubel Hill,946-184-4419
905,Dagmar,23-04-1996,5 Di Loreto Center,274-987-8935
906,Ilse,16-12-1997,1 Mariners Cove Parkway,804-610-9679
907,Leone,12-08-1996,67315 Prairieview Park,394-228-3682
908,Gisela,26-01-1996,81 Golf Course Plaza,873-521-8250
909,Engracia,22-05-1996,785 Sullivan Point,132-266-9138
910,Gerianna,31-08-1995,3738 Little Fleur Avenue,536-657-9429
911,Kennett,10-10-1997,55149 Elka Junction,524-123-8186
912,Kassey,27-10-1997,6641 Huxley Park,939-688-2405
913,Halsy,27-01-1997,5295 5th Pass,763-531-7193
914,Vincenty,07-12-1997,34 Granby Junction,114-510-6718
915,Dorian,16-09-1995,374 Merchant Terrace,423-191-6020
916,Georg,13-10-1997,8492 Ryan Park,597-433-7371
917,Scot,13-11-1997,080 Prentice Point,401-731-2975
918,Sileas,17-07-1996,2732 Bluejay Junction,725-830-8582
919,Pauli,21-02-1997,68 Old Shore Circle,427-797-9475
920,Nanny,15-08-1997,5 Longview Hill,756-979-7898
921,Tedmund,15-04-1996,0 Fairfield Lane,528-441-6239
922,Raffarty,21-05-1996,159 North Road,750-219-3457
923,Aldwin,07-09-1995,494 Rowland Court,742-254-1621
924,Budd,19-04-1996,33 Erie Pass,993-860-9623
925,Barty,24-06-1998,69 Springview Alley,885-859-6907
926,Adamo,20-04-1996,61 Glendale Parkway,888-917-8396
927,Gawen,16-07-1995,38165 Londonderry Hill,288-298-5065
928,Kellen,08-05-1995,22605 Ridgeview Circle,400-490-1335
929,Pincas,15-04-1996,5324 Merry Crossing,598-256-6776
930,Ingrid,02-01-1996,331 Elka Lane,369-253-7183
931,Jamesy,02-03-1995,58 Melody Plaza,788-684-2903
932,Elyse,01-05-1997,839 Melby Hill,596-500-5327
933,Sancho,24-07-1995,5 Kropf Lane,528-321-2788
934,Carlita,28-09-1998,9 Warrior Alley,394-423-6787
935,Lars,06-11-1996,66 Heath Way,713-676-2102
936,Michaella,30-04-1997,653 Eliot Avenue,270-943-5104
937,Belva,10-01-1996,17 Lake View Pass,393-785-7463
938,Casandra,11-10-1997,893 Hollow Ridge Place,854-733-0378
939,Tisha,13-08-1995,062 Dennis Circle,320-236-0305
940,Joachim,04-11-1995,53 Sullivan Plaza,859-329-8974
941,Beverie,29-05-1995,5493 Randy Drive,765-927-3245
942,Eileen,02-10-1995,0680 Springview Drive,765-309-1739
943,Courtney,03-12-1995,49 Mccormick Parkway,896-406-3417
944,Carena,31-10-1996,6671 Linden Center,345-190-4716
945,Mel,22-07-1998,843 Cordelia Hill,228-652-1290
946,Lauraine,31-03-1996,03 Eastwood Lane,922-102-1876
947,Aubree,08-08-1996,9 Norway Maple Center,872-748-9362
948,Lil,23-12-1995,3 Summit Trail,303-930-1649
949,Roxane,21-01-1998,44125 Utah Pass,316-130-2154
950,Kathlin,16-07-1995,8 Cardinal Hill,895-506-6504
951,Brooke,16-01-1997,03 Roth Terrace,666-579-9626
952,Elka,28-02-1998,824 Bunker Hill Parkway,287-929-8084
953,Ron,11-04-1997,69 Autumn Leaf Street,862-698-6784
954,Marcellina,06-08-1998,152 2nd Junction,110-272-3728
955,Bobbie,26-09-1997,91 Eggendart Point,974-155-6300
956,Karon,28-11-1995,63 Menomonie Junction,256-492-4543
957,Mannie,02-05-1997,58039 Thackeray Junction,401-632-5355
958,Margareta,14-06-1998,122 Monica Avenue,829-986-6846
959,Obediah,27-03-1995,75421 Lindbergh Parkway,315-226-3026
960,Loralee,19-03-1996,5 Lukken Center,928-809-4322
961,Emmit,23-12-1996,1 Sugar Place,737-124-1742
962,Cyndi,29-01-1998,91 Cody Alley,657-905-6661
963,Moina,10-08-1997,28089 Lakewood Point,800-162-4348
964,Corabella,31-07-1998,4 Express Court,723-855-9631
965,Hurlee,20-12-1998,12 Calypso Pass,772-744-6568
966,Dominique,18-11-1998,604 Debs Drive,633-816-8523
967,Egon,08-04-1995,7 Sachs Hill,101-717-9549
968,Ardyth,01-11-1997,41165 Morningstar Parkway,330-557-8042
969,Innis,17-04-1997,683 Londonderry Drive,960-712-1247
970,Gilli,01-05-1998,8 Lakeland Park,179-764-5971
971,Gerrard,04-04-1996,10 Westridge Drive,275-622-7213
972,Al,10-09-1998,1318 Dunning Court,855-996-2098
973,Magnum,13-03-1997,6 Harper Point,443-613-8145
974,Penelopa,14-08-1998,1255 Delladonna Center,392-500-6145
975,Erik,30-10-1998,8451 Quincy Point,451-195-6192
976,Ferrel,17-12-1998,1 Memorial Terrace,941-360-4531
977,Chandler,26-02-1997,8 Bluestem Trail,537-400-7813
978,Vale,10-12-1997,5 Declaration Junction,854-888-6539
979,Julianna,01-08-1998,0638 Moose Avenue,169-450-1424
980,Lilllie,21-04-1995,588 Cottonwood Alley,280-869-9195
981,Jess,24-10-1997,65 Monument Point,570-279-1971
982,Venus,16-10-1996,1904 Hermina Junction,109-368-6809
983,Courtenay,05-10-1996,37953 Sauthoff Alley,994-576-8469
984,Lily,27-03-1998,9 Raven Park,266-742-1107
985,Salomon,10-09-1997,38 Hanson Trail,394-274-1952
986,See,21-06-1995,8724 Orin Lane,312-331-9554
987,Bone,26-02-1995,159 Meadow Ridge Parkway,407-775-6024
988,Myranda,18-01-1996,886 Banding Avenue,889-259-7330
989,Tucker,05-12-1996,52 Hallows Circle,982-588-2569
990,Eartha,21-11-1995,2542 Northport Lane,512-242-2433
991,Tonnie,29-12-1998,749 Surrey Center,772-335-6212
992,Alano,07-01-1997,8381 Corben Alley,990-212-0890
993,Shane,20-03-1997,092 Grasskamp Park,157-436-5744
994,Genovera,28-11-1996,3 6th Terrace,360-125-5567
995,Bibbye,06-12-1997,83 Sundown Street,222-100-7803
996,Humphrey,10-05-1997,1486 Eastwood Park,345-152-7275
997,Vale,16-03-1998,92 Pearson Circle,559-809-1094
998,Chan,27-10-1997,5731 Hansons Court,429-541-9910
999,Mannie,17-01-1996,71509 Carioca Park,196-985-4712
1000,Rancell,24-04-1998,2796 Crest Line Pass,183-870-9208
